date,format,Count,country,counterparty,message
01/01/2024,letter,1,USA,President Biden,45th anniversary diplomatic ties
01/04/2024,letter,2,USA,Sarah Lande,reply a letter
01/04/2024,message,1,Iran,President Raisi,condolences over the serious terror attacks
01/10/2024,message,2,Tunisia,President Saied,60th anniversary diplomatic ties
01/01/2024,phone,1,North Korea,Kim Jong Un,New Year Wish and 2024 China-North Korea friendship Year
01/11/2024,phone,2,Bangladeshi,Prime Minister Hasina,congratulation on her re-election
01/12/2024,phone,3,Lesotho,King Letsie III,congratulations over 30th anniversary of resumption of diplomatic ties
01/15/2024,phone,4,Denmark,King Frederik X,congratulations on the enthronement
01/17/2024,phone,5,DR Congo,President Felix Tshisekedi,congratulations on the re-election
01/10/2024,video,1,Finland,President Niinisto,meeting
01/10/2024,visit in Beijing,1,Maldives,Presient Muizzu,official visit
01/12/2024,visit in Beijing,2,Belgium,Prime Minister De Croo,meeting
